id,is_iceberg
5941774d,0.999999
4023181e,0.000011
b20200e4,0.000000
e7f018bb,1.000000
4371c8c3,0.023423
a8d9b1fd,1.000000
29e7727e,0.001356
92a51ffb,1.000000
c769ac97,0.000000
aee0547d,0.000000
565b28ac,0.000000
e04e9775,0.046282
8e8161d1,0.000000
4cf4d256,1.000000
139e5324,1.000000
f156976f,0.000006
68a117cc,0.000000
d9aa7a56,1.000000
9005b143,0.000000
5f6d3988,1.000000
9ad70954,0.000076
b9087b9e,1.000000
a39a1427,0.000004
82fbe8ed,0.000021
1fae4879,0.000000
6dd8f13d,0.000000
bbad5958,0.000010
54527583,0.000003
be8fa29c,0.633877
81a3328f,1.000000
1a3c0ab3,0.000000
4deeeb8b,1.000000
ac6d5632,0.000000
472dadb5,1.000000
96093f95,1.000000
f5b4e3df,1.000000
e01a3c92,0.000001
001680af,0.000990
8e639f33,1.000000
a2c16612,1.000000
a6d76474,0.000000
19c47684,1.000000
015827b6,0.000000
7df7f7ce,0.705037
0bbf1a3f,1.000000
636cfbb7,0.994566
7370030a,1.000000
43aa97ad,0.951527
ba2b5e63,1.000000
dfdd335b,1.000000
e79b13dc,0.000000
dc32b195,0.000000
6d868590,1.000000
75fa59aa,0.000000
ffe50836,0.000000
a7bfd784,1.000000
b3d569e3,0.000209
6c538c5b,0.004608
5c7c15f4,0.000000
0b745139,0.020649
fd14608e,0.846884
f0bc8305,0.000000
a10ccb28,1.000000
543304c7,0.999690
6c3a4078,0.000000
9b73cc75,0.000000
5c6c71b1,1.000000
09ee9186,1.000000
207c35cf,0.000038
153c813e,0.000000
5605d58b,1.000000
642ca396,0.000001
d32d72c0,0.000000
16646a17,1.000000
384074af,0.000000
69bf1e8c,0.000264
9e90a054,0.000000
89dbe7f7,1.000000
dbd27d22,1.000000
a2ea1561,0.006546
d63402af,0.000000
1ac8bb92,1.000000
8beffca5,0.000003
46741f3e,0.000000
e5ee6aa7,0.000000
5ecd892b,1.000000
69892166,0.000000
2f725a81,1.000000
810abfe4,0.000000
e6f973e6,0.000001
c60a5c46,0.000000
c42b9e08,1.000000
c3f00c23,0.000000
5307fdb8,1.000000
3e4f005e,0.000000
4a4cc2e0,1.000000
9bdd88d1,0.000000
0d832bed,0.000053
14a134fa,0.000000
78a41676,0.000000
0bd4658e,0.000000
4a311bb0,1.000000
f939c817,0.000000
956adc4d,1.000000
f8a119f5,0.000009
61faa1ad,0.000000
6725eb3e,0.000614
17b3a8fd,0.000304
49a88dfc,0.000000
2d6ec645,0.000000
0d4d77ba,0.000000
3ee672a2,1.000000
738b41fd,0.000144
f7fb320d,0.000155
b42fad18,0.000000
4ab8b00a,1.000000
f7870f2b,0.000000
4978666a,1.000000
f1b0d6c7,0.000000
5642407f,0.000010
36d4ff92,1.000000
4139aba2,0.956575
7585ce58,1.000000
33e25984,1.000000
ac46f3c9,0.000000
fc34a5b8,1.000000
85c36a8f,1.000000
b2d8a426,0.000000
13ec60d1,1.000000
9d440f42,1.000000
1c0a891e,1.000000
981c3bc3,1.000000
295604f4,0.001156
16ca16c3,1.000000
b4dda837,0.000343
88d088ef,0.001855
1b4fa160,1.000000
f371bd82,0.000004
b130a0b7,1.000000
ebf1de82,1.000000
01e651c3,0.000002
51b1fecc,0.000152
fa635a31,0.000000
97b7d789,0.012095
2f598053,0.000000
c0e3e148,0.000000
cfa175a8,0.302219
3d7e09d8,1.000000
44a13d1b,1.000000
c66b0948,0.000000
976a6d64,0.000000
8bbd8909,1.000000
522890fd,0.005354
f23a3b95,0.000329
680039dc,0.000713
93028e53,1.000000
22a16932,0.000000
7d8126d2,0.000273
ba2ecd75,0.000000
8071bdd7,0.009057
96d5aeee,0.000000
154be68f,1.000000
d8c2bfe2,1.000000
f76d47b0,1.000000
0e781ade,0.000000
13cf6060,0.000000
cd99f710,0.000000
d10005bb,0.000000
3a31445f,1.000000
3157202d,0.000000
6ee64703,1.000000
e5de8685,0.000017
02cc70ba,0.001518
50984a87,1.000000
fa94957a,1.000000
eab406b4,1.000000
3ad39398,0.075741
9ecf3802,0.000013
6048ae7b,0.000000
9dc68871,0.000090
13701465,0.000008
8d8779f3,0.000000
0712f269,0.000433
722c2597,0.000000
478a2b08,1.000000
38f5fb41,1.000000
c52ad74d,1.000000
0c85fd09,0.000000
f1582cba,1.000000
ff836697,1.000000
ddfe4802,0.000000
3cef3bc7,1.000000
6a21542b,1.000000
150e23c4,1.000000
078c6d99,1.000000
1dcd1dc3,0.000000
39967e45,0.197870
6b6333aa,0.000000
4ae61433,0.002082
f96362e0,0.000007
97a88aac,0.000000
427ae8ce,0.000050
209d4b15,0.000000
64b453bd,0.000000
0f5a484e,1.000000
5ac74969,1.000000
736ed43e,0.003030
8533795f,0.000000
f5b54fb6,1.000000
6eb4c041,0.000000
97afdf42,1.000000
1bb488db,0.000000
f132e44d,0.000000
d3c2f140,0.008882
1756794d,1.000000
9efcc11f,0.000000
14c966cf,1.000000
59cfe4d1,0.000355
883151f4,0.000000
